# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# genT	cycleGrowth	rejuvenation
1.5851	1.6085	0.3863
1.5205	1.6061	0.3863
1.5216	1.6089	0.3863
1.6515	1.6095	0.3863
1.5679	1.6129	0.3863
1.5995	1.6117	0.3863
1.5908	1.6156	0.3863
1.5853	1.6061	0.3863
1.4965	1.6103	0.3843
1.5115	1.61	0.3843
1.487	1.6033	0.3843
1.5305	1.6049	0.3843
1.6316	1.6228	0.3843
1.5196	1.6072	0.3843
1.5322	1.6036	0.3843
1.5758	1.607	0.3843
1.565	1.6079	0.3843
1.5705	1.6035	0.3843
1.704	1.6248	0.3843
1.4535	1.6035	0.3843
1.4644	1.6019	0.3843
1.4959	1.605	0.3843
1.5327	1.6131	0.3843
1.4822	1.6023	0.3843
1.5526	1.6039	0.3843
1.6219	1.6205	0.3843
1.4757	1.603	0.3843
1.5412	1.6076	0.3843
1.5319	1.6088	0.3843
1.4839	1.6062	0.3843
1.574	1.6074	0.3843
1.4821	1.6012	0.3843
1.5503	1.6041	0.3843
1.5222	1.6039	0.3843
1.6198	1.6165	0.3843
1.75	1.6322	0.3843
1.5396	1.6161	0.3843
1.5598	1.6165	0.3843
1.5373	1.6103	0.3843
1.49	1.6041	0.3843
1.5935	1.6089	0.3843
1.5788	1.6122	0.3843
1.5591	1.6127	0.3843
1.4642	1.6024	0.3843
1.5445	1.6122	0.3843
1.5284	1.6041	0.3843
1.5461	1.6042	0.3843
1.6976	1.6201	0.3843
1.5299	1.611	0.3843
1.5823	1.6164	0.3843
1.5356	1.6053	0.3843
1.57	1.6052	0.3843
1.5823	1.6068	0.3843
1.5195	1.606	0.3843
1.7032	1.6169	0.3843
1.5808	1.6062	0.3843
1.4831	1.6055	0.3835
1.514	1.6055	0.3835
1.5356	1.6112	0.3835
1.454	1.6031	0.3835
1.609	1.6213	0.3835
1.5565	1.6075	0.3835
1.6959	1.6227	0.3835
1.6524	1.6209	0.3835
1.4828	1.6031	0.3835
1.468	1.6025	0.3835
1.5266	1.6133	0.3835
1.5178	1.6079	0.3835
1.6098	1.6143	0.3835
1.5399	1.6108	0.3835
1.6401	1.6233	0.3835
1.577	1.6069	0.3835
1.4359	1.5969	0.3835
1.5773	1.6122	0.3835
1.5292	1.6	0.3835
1.5035	1.6047	0.3835
1.526	1.6054	0.3835
1.5876	1.6149	0.3835
1.5894	1.6035	0.3835
1.632	1.6126	0.3835
1.456	1.603	0.3835
1.4734	1.6045	0.3835
1.504	1.6062	0.3835
1.4817	1.6039	0.3835
1.6034	1.6083	0.3835
1.5213	1.6045	0.3835
1.5435	1.6103	0.3835
1.5397	1.606	0.3835
1.4875	1.6038	0.3835
1.51	1.6047	0.3835
1.5	1.5939	0.3835
1.4845	1.6017	0.3835
1.4832	1.599	0.3835
1.5664	1.6178	0.3835
1.5838	1.6136	0.3835
1.6387	1.6148	0.3835
1.5454	1.6076	0.3835
1.5193	1.6005	0.3835
1.662	1.6243	0.3835
1.6186	1.6223	0.3835
1.6237	1.619	0.3835
1.6509	1.6125	0.3835
1.5221	1.6051	0.3805
1.4461	1.5926	0.3805
1.5418	1.6157	0.3805
1.5814	1.6177	0.3805
1.4927	1.6071	0.3805
1.488	1.6053	0.3805
1.5308	1.6148	0.3805
1.5158	1.6086	0.3805
1.4781	1.5995	0.3805
1.5211	1.6096	0.3805
1.4975	1.6055	0.3805
1.5803	1.6195	0.3805
1.5536	1.6085	0.3805
1.651	1.628	0.3805
1.4812	1.604	0.3805
1.5337	1.6018	0.3805
1.4946	1.602	0.3805
1.4849	1.6056	0.3805
1.5039	1.6057	0.3805
1.6231	1.6172	0.3805
1.4911	1.6026	0.3805
1.5372	1.6084	0.3805
1.5936	1.6149	0.3805
1.6071	1.6117	0.3805
1.4976	1.604	0.3805
1.4489	1.6042	0.3802
1.4664	1.6007	0.3802
1.4814	1.6042	0.3802
1.5346	1.6063	0.3802
1.6733	1.6254	0.3802
1.6978	1.6201	0.3802
1.5048	1.611	0.3802
1.4779	1.6006	0.3802
1.5022	1.6026	0.3802
1.4444	1.6038	0.3802
1.4959	1.6087	0.3802
1.4493	1.6028	0.3802
1.51	1.604	0.3802
1.5182	1.6077	0.3802
1.5107	1.6035	0.3802
1.5222	1.6038	0.3802
1.4912	1.6101	0.3802
1.5271	1.6132	0.3802
1.5116	1.6088	0.3802
1.6186	1.6214	0.3802
1.603	1.6171	0.3802
1.6634	1.6213	0.3802
1.424	1.5973	0.3802
1.501	1.6072	0.3802
1.4865	1.6017	0.3802
1.5784	1.6151	0.3802
1.4815	1.603	0.3802
1.5775	1.6004	0.3802
1.5966	1.6223	0.3802
1.4311	1.5977	0.3802
1.5257	1.6121	0.3802
1.561	1.6154	0.3802
1.5846	1.6147	0.3802
1.562	1.6016	0.3802
1.5762	1.6147	0.3802
1.565	1.6047	0.3802
1.6139	1.6164	0.3802
1.4538	1.5968	0.3793
1.5091	1.6005	0.3793
1.4657	1.6013	0.3793
1.5473	1.6067	0.3793
1.4626	1.6042	0.3793
1.4727	1.6044	0.3793
1.5266	1.6107	0.3793
1.4852	1.6032	0.3793
1.5756	1.6152	0.3793
1.615	1.6172	0.3793
1.6143	1.615	0.3793
1.4659	1.604	0.3793
1.5375	1.6162	0.3793
1.5325	1.6022	0.3793
1.535	1.6034	0.3793
1.5164	1.6063	0.3793
1.6022	1.6132	0.3793
1.5207	1.6151	0.3793
1.5045	1.6086	0.3793
1.5707	1.6103	0.3793
1.5452	1.6055	0.3793
1.5305	1.608	0.3793
1.5056	1.6028	0.3793
1.4446	1.5967	0.3793
1.4302	1.5952	0.3793
1.5558	1.6114	0.3793
1.7651	1.6345	0.3793
1.5457	1.6106	0.3793
1.5153	1.6021	0.3793
1.6174	1.6182	0.3793
1.6479	1.6154	0.3793
1.637	1.6268	0.3793
1.593	1.6125	0.3793
1.5986	1.6178	0.3793
1.8748	1.6477	0.3793
1.4902	1.6012	0.3786
1.5152	1.5997	0.3786
1.5147	1.5959	0.3786
1.6293	1.6156	0.3786
1.5312	1.6029	0.3786
1.615	1.6091	0.3786
1.4353	1.6018	0.3786
1.4559	1.5983	0.3786
1.4364	1.5966	0.3786
1.4645	1.6032	0.3786
1.5792	1.6168	0.3786
1.5321	1.6082	0.3786
1.5966	1.6225	0.3786
1.4432	1.5954	0.3786
1.6018	1.6191	0.3786
1.6543	1.628	0.3786
1.5318	1.6089	0.3786
1.6126	1.6243	0.3786
1.6116	1.6241	0.3786
1.4609	1.5935	0.3786
1.5867	1.6142	0.3786
1.5624	1.6137	0.3786
1.5529	1.6088	0.3786
1.5107	1.6008	0.3786
1.5344	1.6078	0.3786
1.6061	1.6113	0.3786
1.5554	1.6116	0.3786
1.5437	1.6104	0.3786
1.5165	1.6035	0.3786
1.4815	1.6062	0.2595
1.5205	1.6163	0.2595
1.5051	1.5994	0.2595
1.5048	1.5961	0.2595
1.6243	1.6232	0.2595
1.6016	1.6216	0.2595
1.6253	1.6101	0.2595
1.7464	1.6325	0.2595
1.4791	1.5995	0.2595
1.7211	1.6214	0.2595
1.5632	1.6133	0.2595
1.5004	1.6083	0.2595
1.5857	1.6161	0.2595
1.4437	1.6034	0.2595
1.5441	1.6167	0.2595
1.5399	1.6191	0.2595
1.5424	1.6091	0.2595
1.6689	1.6321	0.2595
1.5952	1.6121	0.2595
1.5883	1.6135	0.2595
1.5604	1.605	0.2595
1.756	1.6409	0.2595
1.4594	1.6074	0.2595
1.5257	1.6119	0.2595
1.5503	1.6051	0.2595
1.6751	1.6237	0.2595
1.7684	1.6314	0.2595
1.5496	1.6226	0.2595
1.4997	1.6101	0.2595
1.5632	1.6089	0.2595
1.4964	1.6078	0.2595
1.5614	1.6095	0.2595
1.6561	1.6168	0.2595
1.5346	1.6109	0.2595
1.6008	1.6169	0.2595
1.7099	1.6343	0.2595
1.4677	1.6038	0.2595
1.5204	1.6034	0.2595
1.6138	1.6113	0.2595
1.7098	1.6266	0.2595
1.5735	1.613	0.2595
1.6184	1.6182	0.2595
1.7299	1.6315	0.2595
1.5542	1.6198	0.2589
1.4578	1.5987	0.2589
1.6762	1.6222	0.2589
1.478	1.6092	0.2589
1.5159	1.6119	0.2589
1.5396	1.6089	0.2589
1.5051	1.6091	0.2589
1.551	1.6125	0.2589
1.6371	1.6271	0.2589
1.5359	1.6058	0.2589
1.676	1.6255	0.2589
1.4522	1.601	0.2589
1.5114	1.6014	0.2589
1.4842	1.6056	0.2589
1.5621	1.61	0.2589
1.4619	1.6049	0.2589
1.5511	1.6104	0.2589
1.5362	1.611	0.2589
1.6769	1.6183	0.2589
1.4454	1.5995	0.2589
1.4797	1.6029	0.2589
1.5096	1.6016	0.2589
1.4775	1.6062	0.2589
1.5304	1.6169	0.2589
1.5095	1.6058	0.2589
1.5968	1.6153	0.2589
1.5392	1.6195	0.2589
1.5491	1.6152	0.2589
1.6943	1.6344	0.2589
1.5142	1.6073	0.2589
1.5463	1.6064	0.2589
1.5584	1.6143	0.2589
1.7143	1.6296	0.2589
