# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_highRe_3gen.txt" 
# genT	cycleGrowth	rejuvenation
1.6477	1.6027	0.4983
1.672	1.5996	0.4983
1.6789	1.592	0.4983
1.659	1.6008	0.4983
1.7051	1.5997	0.4983
1.6591	1.599	0.4983
1.6888	1.5998	0.4983
1.6781	1.6008	0.4982
1.6722	1.5971	0.4982
1.6955	1.5946	0.4982
1.6736	1.5987	0.4982
1.6823	1.5961	0.4982
1.6812	1.6026	0.4982
1.6841	1.5992	0.4982
1.6853	1.5938	0.4982
1.7172	1.5972	0.4982
1.6766	1.5978	0.4982
1.6866	1.6025	0.4982
1.6839	1.5932	0.4982
1.6655	1.6004	0.4982
1.672	1.5953	0.4982
1.6772	1.5946	0.4982
1.6853	1.6018	0.4982
1.7203	1.6003	0.4982
1.6798	1.6027	0.4982
1.6667	1.5963	0.4982
1.6662	1.6019	0.4982
1.7142	1.5933	0.4982
1.6867	1.5997	0.4982
1.6639	1.6014	0.4982
1.6861	1.5937	0.4982
1.6868	1.6037	0.4982
1.6945	1.5946	0.4982
1.6932	1.5978	0.4982
1.6742	1.5992	0.4982
1.6548	1.6033	0.4982
1.6777	1.6016	0.4982
1.652	1.6022	0.4982
1.6599	1.6003	0.4982
1.6798	1.6047	0.4982
1.7203	1.5985	0.4977
1.676	1.5974	0.4977
1.6839	1.597	0.4977
1.6368	1.6043	0.4977
1.69	1.5944	0.4977
1.7059	1.597	0.4977
1.6936	1.6008	0.4977
1.6929	1.5978	0.4977
1.6774	1.6013	0.4977
1.7042	1.601	0.4977
1.664	1.5961	0.4977
1.7049	1.6017	0.4977
1.6621	1.5991	0.4977
1.6696	1.5963	0.4977
1.7002	1.5959	0.4977
1.6863	1.5946	0.4977
1.6831	1.5939	0.4977
1.6797	1.601	0.4977
1.6832	1.5949	0.4977
1.6989	1.5943	0.4977
1.6731	1.597	0.4977
1.7019	1.5941	0.4977
1.7222	1.5994	0.4977
1.6618	1.6003	0.4977
1.6878	1.596	0.4977
1.6635	1.6033	0.4977
1.7304	1.6014	0.4977
1.6933	1.5935	0.4977
1.7012	1.5985	0.4977
1.7068	1.5986	0.4977
1.6677	1.5966	0.4977
1.6502	1.5988	0.4977
1.6914	1.5954	0.4974
