# DAUGHTER VS D BY REJUVENATION
# original file "wt_unlimCap_highRe_3gen.txt" 
# daughter	initD	rejuvenation
15.0	0.1651	0.7707
9.0	0.1394	0.7707
2.0	0.0858	0.7707
11.0	0.1391	0.7707
16.0	0.1601	0.7707
12.0	0.1487	0.7707
7.0	0.1302	0.7687
7.0	0.1285	0.7687
17.0	0.1843	0.7687
6.0	0.1117	0.7687
9.0	0.1401	0.7687
6.0	0.12	0.7687
15.0	0.1641	0.7687
12.0	0.1514	0.7687
27.0	0.2158	0.7687
2.0	0.0752	0.7687
19.0	0.1971	0.7687
2.0	0.0823	0.7687
1.0	0.0738	0.7687
22.0	0.1813	0.7272
18.0	0.1766	0.7272
8.0	0.1319	0.7272
13.0	0.157	0.7272
1.0	0.0758	0.7272
3.0	0.0899	0.7272
15.0	0.1814	0.7272
5.0	0.1127	0.7272
7.0	0.126	0.7272
14.0	0.1714	0.7272
5.0	0.117	0.7272
6.0	0.126	0.7272
7.0	0.1272	0.7272
5.0	0.1093	0.7272
16.0	0.1592	0.7272
14.0	0.1649	0.7272
10.0	0.1401	0.7272
16.0	0.1712	0.7272
1.0	0.0681	0.7272
9.0	0.1339	0.727
2.0	0.0838	0.727
9.0	0.1413	0.727
10.0	0.1466	0.727
11.0	0.1476	0.727
6.0	0.1177	0.727
19.0	0.203	0.727
8.0	0.1353	0.727
5.0	0.1111	0.727
6.0	0.1194	0.727
12.0	0.1504	0.727
3.0	0.0908	0.727
12.0	0.1609	0.727
1.0	0.0541	0.727
6.0	0.113	0.727
1.0	0.0724	0.727
5.0	0.1153	0.727
5.0	0.1161	0.727
9.0	0.142	0.727
5.0	0.1183	0.727
2.0	0.0792	0.727
8.0	0.1339	0.7265
1.0	0.0694	0.7265
4.0	0.0914	0.7265
6.0	0.1225	0.7265
5.0	0.1161	0.7265
12.0	0.1555	0.7265
15.0	0.172	0.7265
17.0	0.1891	0.7265
11.0	0.1517	0.7265
8.0	0.1261	0.7265
3.0	0.0913	0.7265
18.0	0.187	0.7265
6.0	0.117	0.7265
17.0	0.1781	0.7265
6.0	0.1222	0.7265
1.0	0.0757	0.7265
2.0	0.0839	0.7265
16.0	0.1745	0.7265
16.0	0.1553	0.7262
7.0	0.1262	0.7262
14.0	0.1849	0.7262
24.0	0.1868	0.7262
19.0	0.1756	0.7262
11.0	0.1559	0.7262
